SepalLen,SepalWid,PetalLen,PetalWid,Species
5.1,3.5,1.4,0.2,Setosa
4.9,3,1.4,0.2,Setosa
5,3.4,1.5,0.2,Setosa
5.5,2.3,4,1.3,Versicolor
6.5,2.8,4.6,1.5,Versicolor
5.7,2.8,4.5,1.3,Versicolor
6.3,3.3,6,2.5,Virginica
5.8,2.7,5.1,1.9,Virginica
7.1,3,5.9,2.1,Virginica
6,3,4.8,1.8,Virginica
5.4,3.4,1.7,0.2,Setosa
6.7,3.1,4.4,1.4,Versicolor
6.1,2.9,4.7,1.4,Versicolor
5.6,2.8,4.9,2,Virginica
5.5,2.5,4,1.3,Versicolor
6.9,3.1,5.1,2.3,Virginica
5,3.5,1.3,0.3,Setosa
4.7,3.2,1.6,0.2,Setosa
5.1,3.8,1.9,0.4,Setosa
5.9,3,5.1,1.8,Virginica
